Nome,CPF,Data de Nascimento,Idade,Rua,Numero,Bairro,Cidade,CEP,Telefone Celular
Sra. Milena Costela,413.752.069-07,12/09/2000,23,Travessa Vicente Lima,95,Itaipu,Alves,45119-559,(061) 5681-5442
Lucas Gabriel Pires,415.972.863-46,18/09/1996,27,Estação Ribeiro,88,Jaqueline,Rezende Paulista,10955840,(011) 0644-6911
Breno Pires,416.783.059-01,04/09/1967,56,Parque Silva,584,Luxemburgo,Fogaça do Norte,35619-607,(081) 2747 8142
Srta. Caroline Barros,419.753.620-80,10/12/1963,60,Quadra de Cunha,25,Pompéia,Pinto Grande,34745460,+55 61 3053-5055
Yasmin Ferreira,421.073.869-78,15/05/1973,50,Recanto Novaes,60,Vila Rica,Moraes,56698-332,21 4764-7319
Sophia Barbosa,421.395.076-06,26/04/1969,54,Pátio de Mendes,50,Miramar,Duarte,98895-216,11 8342-3565
Heloísa das Neves,425.918.630-24,03/02/1996,27,Distrito de Santos,88,Senhor Dos Passos,Fernandes do Norte,57511-408,41 8841-7559
Danilo Silva,426.098.351-24,22/12/1975,48,Fazenda de Fogaça,5,Boa Viagem,Melo da Serra,58103-073,+55 61 3513 5485
Danilo Silva,426.098.351-24,22/12/1975,48,Vila Ana Vitória da Cunha,2,Dom Cabral,Viana Verde,15851-053,(071) 6208 9994
Danilo Silva,426.098.351-24,22/12/1975,48,Morro da Mata,594,Conjunto Taquaril,Caldeira,4587920,51 3672 3989
Danilo Silva,426.098.351-24,22/12/1975,48,Passarela de da Mota,4,São Lucas,Moura das Pedras,62615-638,81 4361-5172
Srta. Maria Clara Moraes,431.285.067-44,28/01/1961,62,Jardim Diogo Melo,878,Vila Novo São Lucas,Moraes do Norte,40882-089,41 4063 7955
Pedro Lucas Gomes,431.857.962-09,14/03/1951,72,Morro Lara Ferreira,37,Pilar,da Luz de Goiás,46969576,84 2935-8711
Joaquim Ferreira,432.698.701-40,04/12/1953,70,Morro Lucas Gabriel Vieira,477,Vila Petropolis,Vieira,99976270,(071) 6255-1420
Sr. Benício Vieira,452.830.791-04,16/06/1968,55,Parque de da Luz,454,Parque São José,Rocha do Sul,6665122,+55 (061) 1484-8767
Vitor Campos,456.397.182-00,26/05/1956,67,Rodovia Beatriz Cardoso,24,Cdi Jatoba,Ribeiro,44711408,+55 51 3008 3557
Sr. Erick Moura,457.831.920-23,06/08/1994,29,Núcleo de da Cruz,35,Coqueiros,Ramos de Lima,57490548,+55 (084) 3717 9437
Francisco Cardoso,459.820.761-20,15/04/1986,37,Fazenda de Ramos,27,Grajaú,Farias,37856260,84 1802 1493
Sabrina Campos,461.093.785-93,02/03/1991,32,Passarela Lima,1,Tupi A,Lopes de Santos,94814-909,81 3682 8196
Cauê Correia,463.751.082-17,07/03/1994,29,Pátio Levi Alves,384,Confisco,Fernandes de Peixoto,92495-404,0300 083 9084
Clarice Cardoso,465.217.893-09,24/03/1980,43,Lago João Vitor Gonçalves,8,Biquinhas,Lima do Campo,57339382,(061) 4230-0456
Vitor da Cruz,465.931.807-93,05/05/1947,76,Ladeira Vieira,8,Leticia,Oliveira de Novaes,91461740,+55 61 4362 9937
Gabriel Moura,465.970.238-38,10/01/1964,59,Praia de Lopes,786,Santo Agostinho,da Costa,2209963,(011) 4004-3366
Esther Moraes,467.359.028-74,12/07/1975,48,Largo Juan Silveira,298,Monte Azul,Cardoso do Campo,87991-627,+55 (071) 2354-5624
Ana Carolina Campos,471.682.053-07,24/04/1992,31,Sítio Enzo Cardoso,902,Dom Bosco,da Costa da Praia,89773318,(084) 9126 2040
Lucas Gabriel Pereira,472.593.180-23,05/11/1963,60,Trecho Ribeiro,73,Ipiranga,Lopes,68340781,+55 (081) 4149-3329
Maitê Pinto,472.913.865-19,16/11/1949,74,Área da Luz,74,Fernão Dias,Silva da Praia,70434944,51 8398 3637
Maria Clara Dias,479.263.051-70,08/12/1959,64,Ladeira Martins,500,Vila Havaí,Pinto do Campo,86361-843,21 6354-4041
Ana Clara Nascimento,479.286.150-02,24/01/1951,72,Praça Ryan da Mata,72,Nova Suíça,da Rocha,07466-407,+55 (061) 4300 9804
Gabriel Sales,480.753.296-00,09/11/1956,67,Parque Almeida,729,Lagoinha Leblon,Viana de Almeida,10292728,+55 81 5839-9261
Gabriel Sales,480.753.296-00,09/11/1956,67,Lagoa Vitor Correia,596,Vila Tirol,Pinto,62276-129,+55 (084) 4192 8479
Laura Cardoso,482.365.917-19,08/02/1969,54,Recanto João Vitor Peixoto,8,Carmo,Martins,62862319,+55 (041) 5190 6599
Alexandre Oliveira,483.096.751-00,13/03/1950,73,Loteamento de Jesus,1,São Tomaz,Melo de da Mota,15154-843,+55 84 8021 4776
Catarina Teixeira,486.137.520-71,23/02/1971,52,Estação Nina Aragão,181,Jardim Montanhês,Barbosa de Araújo,69873-645,(084) 1532 2431
Erick Peixoto,486.250.173-71,24/09/2001,22,Área da Rosa,687,Vila Esplanada,Porto,68127-582,(021) 7333 7683
Sra. Natália Fernandes,486.715.930-10,10/08/1966,57,Praça de Dias,6,Caetano Furquim,Barbosa das Pedras,94758-460,(071) 5745 3111
Sra. Natália Fernandes,486.715.930-10,10/08/1966,57,Condomínio Dias,8,Cruzeiro,Alves,31324-855,51 3584 4810
Sra. Natália Fernandes,486.715.930-10,10/08/1966,57,Setor Almeida,52,Leticia,Nunes de Melo,99594-895,+55 (031) 3862-5585
Matheus Ramos,490.856.731-00,12/02/1963,60,Viaduto Sophia Rodrigues,859,Buritis,Pires,96988356,84 9829-9303
Beatriz da Luz,491.362.785-64,27/04/1980,43,Parque Marcela Peixoto,46,Novo Tupi,Caldeira do Oeste,5388339,+55 71 6603-6886
Luna Costela,492.576.138-28,14/10/1979,44,Aeroporto de Martins,61,Vila São Geraldo,Silva das Pedras,11681-705,+55 51 3099 9549
Sr. Luigi Ramos,496.521.708-01,20/09/1953,70,Núcleo Nogueira,79,Túnel De Ibirité,Silva,64633-732,(021) 1246 6027
Carlos Eduardo Rocha,501.382.964-05,16/05/1967,56,Chácara Maysa da Rosa,19,Vila Olhos D'água,Nunes,99664547,(084) 2547-9653
Dra. Elisa Gomes,501.763.892-02,11/06/1987,36,Trevo de Mendes,70,Cidade Jardim,Alves do Sul,68740750,+55 84 7939 5409
Davi Lucca Sales,501.897.643-84,11/09/1948,75,Lago Luna Ferreira,976,Caetano Furquim,Aragão de Moreira,5064815,+55 84 7172 0007
Manuela Nogueira,504.276.913-70,25/05/2002,21,Passarela Moreira,2,Cidade Nova,Lima,23531591,81 4232 7925
Luna da Mota,504.381.692-98,09/11/1970,53,Chácara de Cardoso,40,Lindéia,Martins,36027271,0800-685-5906
Paulo Jesus,507.829.436-83,11/06/1993,30,Parque da Mata,7,Grotinha,Nascimento dos Dourados,80983311,51 2557 4977
Beatriz Monteiro,507.942.368-47,12/01/1953,70,Lagoa Santos,8,Alto Das Antenas,da Mota,52443-568,+55 (051) 5740 1163
Milena Ferreira,509.726.831-86,10/05/1962,61,Esplanada Francisco Cardoso,9,Conjunto Providencia,Cardoso,96933-500,+55 21 8870-8368
Emanuella Campos,510.367.948-57,01/03/1978,45,Colônia Ana Luiza Santos,20,Marilandia,Araújo,37978-499,(081) 8049 4777
Emanuella Campos,510.367.948-57,01/03/1978,45,Estrada Luiz Gustavo Cavalcanti,3,Vila Ipiranga,Peixoto,83453749,+55 71 9932 0757
Davi Lucas Gomes,513.694.207-06,13/06/2004,19,Residencial Costa,431,Vila Suzana Segunda Seção,Costela do Norte,90435542,11 1042-9448
Beatriz Farias,513.697.048-01,14/09/1962,61,Praça de da Paz,6,Diamante,Jesus do Campo,53893-363,31 3448-9800
Rafael Vieira,517.894.263-91,05/07/2001,22,Rodovia Maria Sophia Santos,65,Santa Helena,Barros da Serra,88552280,(041) 5698-8591
Srta. Olivia Rocha,519.706.382-30,03/09/1981,42,Rodovia de Costela,37,Carmo,Novaes,90094-540,(021) 4747-9258
Eduarda da Cruz,519.826.034-70,25/03/1950,73,Viela de Farias,44,João Pinheiro,Carvalho de Goiás,66736-324,31 7373-3898
Lucas Pereira,532.094.617-16,28/01/1945,78,Lagoa de Almeida,57,Mangueiras,Jesus,35746771,+55 31 8832-1306
Antônio da Luz,532.609.471-16,24/05/1991,32,Estrada Pinto,48,Braúnas,Mendes das Flores,40254745,+55 (011) 3841 5475
Isadora Gomes,532.986.714-28,01/08/1979,44,Lago Sophie Almeida,97,Mariquinhas,Nascimento do Norte,32750026,51 2712 0216
Rafael Peixoto,536.209.417-34,14/12/1996,27,Residencial Caldeira,191,Vila Paquetá,Melo,84617-968,+55 (084) 2083-5559
Luiz Felipe Gonçalves,536.942.871-91,25/12/1980,43,Feira das Neves,92,Santa Sofia,Araújo,8125331,(041) 5372-2152
Cecília Cavalcanti,540.683.712-53,22/08/1978,45,Sítio Costa,73,Vila Boa Vista,Mendes Verde,25931813,0300-546-2429
Lara Correia,542.839.761-64,08/08/1952,71,Campo da Costa,64,Serra Do Curral,Costa Grande,99781125,(084) 9648 7590
Felipe Freitas,546.309.721-61,18/06/1973,50,Estrada de Freitas,806,Padre Eustáquio,Fernandes do Norte,05996-354,+55 (051) 4520-6840
Ryan Araújo,547.328.961-46,24/05/1956,67,Quadra de Oliveira,38,Jardim Alvorada,Pinto do Sul,60980232,+55 (081) 4202-0855
Davi Lucca Moura,547.361.098-66,11/01/1984,39,Sítio Aragão,5,Flavio Marques Lisboa,Gomes,09858-387,+55 84 9536-2631
Dra. Joana Aragão,548.639.721-64,30/07/1949,74,Condomínio Castro,43,São Vicente,Monteiro de Martins,84365-969,+55 (031) 4556 4566
Kevin da Luz,571.249.603-80,21/04/1948,75,Vila de Pereira,95,Engenho Nogueira,Alves,44811-511,+55 31 2102 5469
Bruna Peixoto,574.319.802-05,24/09/1971,52,Praia de Pinto,26,Conjunto Santa Maria,Peixoto da Prata,94920-759,(071) 6779-3447
Joana Ribeiro,576.032.918-95,26/10/1993,30,Chácara de Fernandes,2,Santa Rosa,Sales,66846-922,(021) 5633 4639
Breno Cunha,576.328.901-30,29/06/2006,17,Fazenda Cavalcanti,576,Renascença,Duarte das Pedras,86905516,+55 (071) 3186 2690
Srta. Maria Eduarda Sales,583.042.719-23,12/08/1964,59,Feira Nina Moreira,601,Grota,Moreira de Sales,21319986,+55 11 8292 1293
Maria Cecília Rezende,583.901.467-20,18/06/1998,25,Aeroporto Maria Julia Teixeira,87,Fernão Dias,Nascimento do Galho,29099927,+55 (081) 1651 9260
Bruno Nunes,586.094.317-20,22/09/1985,38,Campo de da Paz,17,Petropolis,Castro,35922-703,+55 31 1831-7360
Sofia Correia,586.194.730-93,21/06/2003,20,Fazenda de Ribeiro,57,Aparecida,Cunha do Sul,84409-280,+55 (021) 4797 8836
Alana Vieira,587.329.461-55,25/12/1976,47,Parque de Silva,6,Cdi Jatoba,Santos,58617-904,0300 829 0267
Vitória Caldeira,589.014.367-01,19/08/1994,29,Loteamento Ribeiro,52,Coração De Jesus,Pires de Alves,30662458,(071) 3024-3573
Caroline Cunha,590.726.134-06,14/10/1947,76,Condomínio de Cardoso,693,Maria Goretti,Correia de da Luz,41888-420,+55 (051) 5079-7292
Manuela Correia,591.284.307-60,16/08/2006,17,Vila de Silva,33,Campo Alegre,Gonçalves,43373886,+55 84 4976-8661
Bryan Rodrigues,593.427.806-10,19/03/1976,47,Quadra Viana,337,Sagrada Família,da Conceição de Jesus,91293-714,81 0320-1978
Evelyn Santos,596.032.147-52,21/06/2005,18,Campo de Aragão,72,Savassi,Fernandes,94042-891,61 4601-4345
Anthony Mendes,596.187.324-28,22/01/1961,62,Rodovia Porto,76,Vila Atila De Paiva,Freitas,49047997,21 3649 1639
Eduardo Cardoso,596.310.748-20,26/03/2000,23,Aeroporto de Araújo,89,São Luiz,da Costa,66287550,+55 (021) 3105 8692
Leonardo Moura,597.126.804-01,01/02/1949,74,Praça Barros,1,Urca,Ramos,35669-303,+55 (021) 9413-8404
Rafaela Teixeira,605.273.914-25,28/12/1965,58,Colônia de Lopes,805,Vila Copasa,Teixeira,97084193,41 3896 2335
Dra. Beatriz Barbosa,607.831.594-39,05/08/2000,23,Conjunto Enzo Gabriel Correia,59,Santa Efigênia,Teixeira do Galho,86842946,(071) 8916 0374
Maria Alice Fernandes,609.723.158-02,09/09/1956,67,Conjunto Freitas,7,João Alfredo,Moreira,64442567,51 1387 3178
Ana Sophia Gomes,609.813.574-66,26/02/1966,57,Largo de da Rosa,13,Serra Verde,Souza,12982897,+55 (031) 2025 7673
Yuri Pires,610.542.378-08,25/11/1966,57,Área Diogo Moreira,9,Vila Das Oliveiras,Lima de Silva,70637-292,(031) 5351 9604
Yasmin da Mata,610.574.892-20,03/03/1975,48,Sítio Pires,41,Santa Tereza,Rodrigues,58887-252,+55 84 2023 4591
Enzo Teixeira,612.083.497-40,27/10/1977,46,Núcleo da Paz,4,Cidade Jardim,Gomes,16814475,(031) 9671 5297
Sr. Erick Martins,612.478.953-19,03/04/1949,74,Lago Bárbara Rodrigues,50,Vila Nova Paraíso,das Neves,04770-107,51 4268 0677
Gabriela Silveira,612.987.345-09,30/04/1971,52,Rua de da Conceição,341,Vila Aeroporto Jaraguá,Fernandes,10852-898,(084) 6523 3861
Sra. Sophia Alves,614.235.079-16,17/05/2005,18,Recanto Letícia Cunha,96,Vila Madre Gertrudes 4ª Seção,Cardoso da Prata,21162331,+55 21 3276-2367
Emanuel Nascimento,617.358.029-21,09/02/1990,33,Setor da Mata,87,Novo Ouro Preto,Silva do Oeste,34507-811,0300-801-7823
Ana Laura Costela,618.437.205-07,21/03/1956,67,Colônia de Monteiro,172,Pindorama,da Conceição de Minas,42749498,+55 (071) 9685 1103
Fernando Oliveira,619.348.507-48,19/11/1963,60,Lago Melo,32,Buritis,Moraes,54384912,+55 61 9218-9717
Vitor Hugo Nogueira,619.857.304-48,18/12/1962,61,Ladeira Isabelly Mendes,48,São Pedro,Costa da Praia,76300413,(071) 9205-4215
Felipe da Paz,620.817.395-77,02/11/1947,76,Lago Juliana Moreira,97,Camponesa 2ª Seção,Cardoso Alegre,89121-794,0500 237 5969
Ian Monteiro,621.453.879-19,01/08/1959,64,Morro Ferreira,36,Cidade Nova,Moreira da Mata,28951-282,0300 339 3884
Srta. Mariana Martins,621.975.043-80,10/11/1950,73,Praça Rodrigues,506,Vila Novo São Lucas,Rezende de da Mota,27495-959,+55 (011) 2921-7367
Stephany da Mata,625.834.197-73,08/04/2002,21,Morro Luiz Miguel Fernandes,66,Cinquentenário,da Mota do Amparo,14233366,+55 (021) 2228-5946
Luiz Fernando Correia,627.453.198-09,09/01/1952,71,Rodovia Fernandes,83,Santa Rita De Cássia,Araújo de Minas,67038182,+55 (031) 8849 3187
Sra. Ana Luiza Souza,629.307.418-13,05/08/1989,34,Morro Emanuella Ferreira,18,Salgado Filho,Teixeira,53487689,31 8734 8232
Alexia da Costa,629.730.541-25,29/06/1996,27,Estação de Farias,19,Silveira,Araújo de Pinto,42887614,+55 41 9027 4508
Maysa Costa,634.170.289-22,28/11/1967,56,Avenida Campos,4,Pilar,Caldeira,83858-710,(061) 6952 5768
Dra. Lara Mendes,634.721.859-37,23/11/1998,25,Distrito das Neves,120,Europa,Pinto do Sul,16865-131,71 5969 2731
Ana Julia Martins,634.870.921-31,09/10/1966,57,Distrito de Peixoto,43,Renascença,Fogaça,31147867,(071) 4667-8842
Srta. Luana Novaes,635.149.720-52,13/10/1987,36,Setor de Campos,56,Nazare,Martins do Amparo,45455111,11 1371 7804
Calebe Pinto,637.214.089-69,16/03/1994,29,Colônia Vieira,6,Santa Isabel,Cunha de Jesus,90666382,(081) 8007-4394
Ana Luiza da Cruz,638.745.201-53,21/02/2000,23,Campo de das Neves,37,Vila Atila De Paiva,Melo,60796083,0900 686 7678
Otávio Costa,639.451.207-99,03/10/2000,23,Aeroporto de Porto,177,Túnel De Ibirité,Caldeira,40557523,+55 (061) 8977 4694
Emanuella da Luz,640.185.973-39,24/06/1969,54,Área Letícia da Rocha,66,Vila São Gabriel,Silva,81610320,51 4440 7350
Gustavo Novaes,643.109.875-75,15/10/1962,61,Parque de da Cruz,58,Santa Margarida,Silveira,79037-702,0500-628-5719
Pedro Miguel Pereira,647.582.193-46,14/11/1971,52,Colônia de Almeida,6,Vila Aeroporto Jaraguá,Porto Grande,91930-630,+55 (011) 6653 9338
Dra. Marcela Dias,648.973.125-82,22/06/1993,30,Setor Ana Beatriz Costela,6,Garças,Santos,31967-507,51 2324 3351
Yasmin Farias,650.247.938-38,11/10/1945,78,Residencial de Cardoso,241,Lajedo,Fogaça de Minas,18777288,(081) 0234 3641
Sr. João Vitor Barros,651.847.903-57,16/11/1970,53,Lagoa Teixeira,89,Nazare,Lopes das Flores,80075556,+55 (021) 7026 3494
Camila da Mata,653.482.179-64,14/11/1967,56,Jardim Pereira,73,Vila Nova Gameleira 1ª Seção,da Rosa,9771183,+55 31 4223 4068
Mariane Teixeira,654.109.872-76,18/09/1960,63,Travessa Sales,696,Dom Silverio,Correia do Campo,65247859,+55 (041) 0958 9351
Rafael Moreira,658.379.041-66,01/11/1965,58,Lagoa de Fogaça,7,Aguas Claras,da Cruz,42380-387,+55 (051) 4242-3525
Isabel Almeida,671.823.059-68,01/03/1952,71,Trevo Lucas Sales,92,Dom Silverio,Cunha,11184469,41 0867-9540
Isabella Rocha,672.485.193-91,17/02/1994,29,Ladeira de Santos,1,Madri,Castro de Correia,22388660,+55 (081) 6224 9992
Lara das Neves,673.190.482-13,24/04/1997,26,Vereda João Lucas da Cunha,53,Santa Branca,Lopes,80981156,51 7966 4763
Maria Alice Sales,673.921.584-73,31/07/1990,33,Morro Lucas Gabriel Nogueira,23,Novo São Lucas,Carvalho dos Dourados,64020263,+55 11 5383-0090
Marcelo Araújo,679.518.423-46,14/06/1989,34,Ladeira Fernando Carvalho,92,Vila Barragem Santa Lúcia,Fogaça das Pedras,57829-135,+55 81 1270-5928
Luiz Gustavo Cunha,681.407.539-39,30/09/1966,57,Travessa de das Neves,25,Vila Nova Gameleira 2ª Seção,Cardoso de Minas,13545672,21 3188-5632
Vinicius Vieira,683.207.415-80,13/06/1971,52,Largo de Martins,94,Saudade,das Neves das Pedras,34359826,+55 (041) 0204 6221
Isabel Jesus,685.219.730-12,23/11/1959,64,Feira de da Conceição,852,Horto,Vieira,84734090,+55 (011) 5451 1104
Maria Julia Barros,691.250.874-01,25/09/1955,68,Aeroporto Campos,1,São Cristóvão,Ferreira,09123-026,(011) 5910-2067
Beatriz Almeida,691.258.740-20,19/10/1947,76,Aeroporto Luiz Miguel Freitas,7,Jardim América,Jesus,14060-929,71 6027 3703
Eduarda Nascimento,691.430.852-70,31/10/1977,46,Largo de Mendes,76,Marajó,Costa,92934909,+55 41 4642-9985
Maria Fernanda da Conceição,695.420.713-61,01/08/2001,22,Ladeira de Carvalho,9,Vila Olhos D'água,Carvalho de Minas,66876-910,0800-147-2685
João Felipe Almeida,697.240.138-04,15/04/1957,66,Sítio Silveira,99,Vila Olhos D'água,da Luz,63002-794,41 1317 1563
Sabrina Silva,703.681.495-01,02/01/1957,66,Distrito Daniela Cunha,33,Vila Coqueiral,Cardoso,15517-831,21 5332-2082
Daniela da Mota,704.396.215-34,23/04/2000,23,Residencial Igor Rocha,53,Vila Paris,Silveira,58159848,(081) 6149-6332
Beatriz da Mata,705.316.928-68,06/05/1984,39,Quadra Moura,18,Vila Suzana Segunda Seção,Nascimento,32462121,41 2915 8314
Dr. Lucas Ramos,709.238.614-40,18/05/1946,77,Campo Isaac Lima,190,Betânia,da Rosa dos Dourados,66883-904,+55 61 8395-2317
Srta. Maria Cecília das Neves,709.458.216-11,25/12/1967,56,Quadra Vitor Gabriel da Cunha,597,Santa Terezinha,Porto,28827479,11 1531-0754
Maria Cecília Nogueira,713.458.620-08,11/10/2002,21,Esplanada Bruna Almeida,3,Bonsucesso,Mendes,43307449,+55 (051) 6874-2975
Yuri Barros,718.296.350-77,27/06/1980,43,Praia Almeida,48,Novo Santa Cecilia,Melo,43072-502,+55 (011) 1857 3500
Lara da Mota,718.326.059-30,30/01/2002,21,Esplanada Leonardo Almeida,49,Vista Do Sol,Freitas do Sul,88219-934,0800 399 4109
Dr. Guilherme Teixeira,718.956.024-67,07/12/1961,62,Viela de Costela,8,Vila Independencia 2ª Seção,Pereira,84501-895,+55 21 0456 1893
Lívia da Costa,719.536.824-64,21/08/1963,60,Estação Fernandes,28,Vila Satélite,Fernandes do Amparo,93969-404,+55 (081) 0102 9870
Lucas Gabriel Peixoto,720.894.651-58,08/07/2006,17,Lagoa Henrique Melo,951,Vila Da Luz,Aragão Verde,14071679,+55 51 0787 8393
Maria Sophia Moraes,721.439.856-73,27/09/2006,17,Recanto da Cunha,20,Camponesa 2ª Seção,Carvalho,46569-751,21 1030-9051
Maria Freitas,721.465.390-70,05/10/1962,61,Jardim de da Luz,76,Barro Preto,Ribeiro de Moraes,37975912,(031) 6723-7764
Kaique da Mata,723.418.596-82,07/12/1972,51,Viaduto Gonçalves,401,Paulo Vi,Castro do Amparo,42100439,+55 31 0935 6316
Kevin Rodrigues,723.916.580-95,26/10/1955,68,Viela de da Mata,34,Eymard,Nogueira,72444712,(051) 0576-3674
Vitor Rezende,724.580.619-58,21/01/1965,58,Parque de Correia,68,Novo Glória,Castro de Minas,55450-925,51 0746 6181
João Vitor Peixoto,724.913.685-28,03/09/1999,24,Trecho Duarte,84,Anchieta,Moura,85914-372,(031) 9980-2126
Ana Júlia Souza,728.405.319-41,02/06/1968,55,Praça Viana,408,Aarão Reis,Rodrigues,7087065,(041) 0659-9655
Srta. Ana Beatriz Ferreira,730.159.642-16,16/08/1992,31,Feira de Dias,55,Vila São Francisco,Rodrigues,10323-842,0500 097 4752
Luiz Gustavo Freitas,730.546.298-56,16/10/1957,66,Praça Duarte,74,João Alfredo,Castro de Souza,20955225,+55 71 6768-7169
Alexandre Novaes,734.021.869-69,25/11/1961,62,Estação Augusto Freitas,4,São João Batista,Gonçalves,79263540,(041) 5025-2954
Maysa da Luz,734.286.915-55,22/09/1980,43,Jardim de Ramos,89,Mala E Cuia,Castro das Pedras,50183501,(084) 4340 9692
Rodrigo Oliveira,738.961.420-03,13/08/1963,60,Praia Agatha Mendes,75,São Gabriel,Ribeiro,81897-626,+55 41 7087-3551
Vinicius das Neves,739.408.516-39,04/07/1967,56,Travessa Kevin da Paz,42,Vila Rica,Pires,07060-083,+55 61 8238 6929
Sr. Antônio da Mota,739.561.804-10,20/01/1990,33,Vale da Paz,660,Minas Brasil,Rodrigues de da Mata,77636635,0900 986 4968
Sr. Antônio da Mota,739.561.804-10,20/01/1990,33,Loteamento de da Luz,1,Guaratã,Gonçalves de Goiás,95963-858,+55 (071) 6167 6336
Antônio Oliveira,743.082.615-62,26/03/1950,73,Distrito Cardoso,7,Serrano,da Cruz,68085-631,+55 (021) 6325-8832
Augusto da Luz,743.280.615-26,25/09/1983,40,Viaduto Ana Beatriz Pereira,7,Jaraguá,Novaes do Norte,05150-933,(041) 4718 2443
Yago Vieira,745.036.912-52,27/08/1953,70,Residencial Alexia das Neves,6,Califórnia,Castro da Serra,20378-322,61 1729-2156
Dr. Miguel Moura,745.189.026-02,12/08/2006,17,Chácara Otávio da Mota,86,Lagoinha Leblon,da Cruz,45585796,(061) 5337 4626
João das Neves,745.280.619-02,12/03/1976,47,Viaduto Nicolas Costa,22,Vila Trinta E Um De Março,da Luz de Azevedo,66190437,0500-727-6730
André Azevedo,746.513.082-44,30/01/2003,20,Conjunto de Mendes,793,Lorena,Gonçalves,59117-475,81 6388 2135
Enzo Gabriel Caldeira,746.985.012-02,05/10/1959,64,Residencial João Lucas Barros,36,Vila São João Batista,da Mota da Mata,44471322,71 5770-9094
Thales Almeida,748.620.351-08,17/02/1999,24,Setor de Lima,22,Cachoeirinha,Martins de Minas,42298502,71 5823-3468
Daniela Costela,750.138.469-00,05/07/1979,44,Rua Julia Pereira,43,Goiania,da Costa,91236012,+55 81 3149-9141
Daniel Nunes,750.621.489-01,25/12/1987,36,Jardim Almeida,21,Lagoinha,da Paz,07394-286,+55 (031) 7174-8525
Esther Pinto,752.610.983-86,03/12/1998,25,Feira Leandro Campos,564,Vila Maria,Porto de das Neves,25307153,(084) 8355-4629
Sra. Ana Sophia Monteiro,754.612.803-07,22/12/1961,62,Fazenda Pietro Novaes,17,Cardoso,Melo,91523-754,11 7673-1613
Sra. Luna da Paz,756.129.084-58,28/02/1979,44,Jardim Joana Barros,38,São Francisco Das Chagas,da Conceição Alegre,33562-587,+55 (084) 5461 3378
Maria Eduarda da Costa,756.209.813-12,19/02/1996,27,Estrada Thomas Santos,29,Barão Homem De Melo 2ª Seção,da Cruz Grande,83579380,11 2073-2191
Carlos Eduardo Caldeira,756.304.129-06,06/09/1995,28,Trevo Pedro Gomes,89,Confisco,Oliveira da Prata,17460851,+55 (084) 6499 7242
Danilo Cunha,756.918.024-02,01/02/1951,72,Passarela de Mendes,32,Monsenhor Messias,Ribeiro,75593182,(011) 6898 5941
Ana Julia da Paz,758.204.193-32,26/08/1998,25,Ladeira Lucas Gabriel Teixeira,346,Capitão Eduardo,Nunes Alegre,4055464,(031) 8828 7956
Letícia Alves,758.293.104-14,22/06/1965,58,Feira Moraes,272,Vila Da Paz,Dias,92354415,31 6164 5124
Dr. João Miguel Costela,759.842.361-09,17/04/2002,21,Praia Anthony Pires,752,São Benedito,da Mota,56416572,+55 (081) 5068-9096
Marcelo Caldeira,760.529.143-43,07/08/1953,70,Via Ribeiro,83,Pilar,Teixeira do Norte,44314-737,(021) 2187 8861
Ana Júlia Teixeira,761.243.095-99,03/06/2003,20,Pátio Nunes,8,Vila Engenho Nogueira,Farias,61470200,+55 (031) 9484 9857
Srta. Ana Carolina Nascimento,762.531.409-06,19/04/1989,34,Rua Maria Alice Ferreira,32,Ápia,Monteiro,67151-053,(084) 7654 6757
Thiago Nunes,764.302.189-96,06/10/1961,62,Trecho Larissa Campos,5,Vila Jardim Montanhes,da Mata,1536802,+55 (071) 7469-9543
João Vitor Silva,764.893.521-09,19/11/1944,79,Condomínio de das Neves,62,Vila Independencia 2ª Seção,da Conceição,79757-781,+55 (041) 1219-5518
Erick Cunha,765.382.140-53,07/03/1974,49,Alameda Correia,945,Novo Glória,Campos Verde,79994055,(021) 3769 7115
Ana Luiza Ribeiro,765.840.923-56,02/05/1988,35,Praia Gonçalves,87,Anchieta,Gomes,71995-914,11 5860-8629
Ian Fogaça,768.902.135-21,19/02/1975,48,Rua de Barros,395,Santa Rosa,da Cunha das Pedras,76493829,(084) 7096 0455
Benício Pereira,769.452.081-76,13/10/1957,66,Rodovia Monteiro,27,Campo Alegre,Silveira,33372692,+55 51 2278 1898
Rafaela Costa,781.026.954-20,08/02/1944,79,Pátio da Cunha,98,São Jorge 3ª Seção,da Mota do Galho,38356-155,0500-800-6836
Yago Barbosa,781.032.645-71,09/11/1997,26,Viela de Barbosa,108,Embaúbas,Porto do Norte,45138828,+55 (031) 6520-0260
Brenda Araújo,783.526.490-00,07/07/1983,40,Passarela de Fernandes,88,Palmares,Caldeira dos Dourados,67591239,61 1949-5741
Paulo Duarte,785.093.624-83,18/05/2000,23,Campo de da Luz,870,São Damião,da Cruz de da Cruz,56011732,(061) 0843-6109
Luiz Otávio Caldeira,786.951.043-20,30/06/1967,56,Jardim de Lima,234,Leticia,Azevedo do Galho,41031-323,61 8627 3701
Gabrielly da Mata,790.362.845-38,13/01/1970,53,Rodovia Melissa Lopes,63,Embaúbas,Moreira de Teixeira,22303892,+55 (051) 3363 9647
Maria Vitória Fernandes,790.581.436-00,01/09/1950,73,Praia Arthur Rocha,42,Vila Oeste,Carvalho,88564649,+55 81 6622 4525
